"id","time","value"
429,"1",0
429,"2",9
328,"1",8
328,"2",9
328,"3",10
290,"1",8
290,"2",8
290,"3",8
2,"1",0
2,"2",0
2,"3",0
291,"1",8
291,"3",10
464,"1",8
464,"2",9
452,"1",8
452,"2",10
252,"1",6
252,"2",6
252,"3",6
379,"1",8
379,"3",9
47,"1",8
47,"2",8
47,"3",8
6,"1",8
6,"2",9
6,"3",9
227,"1",8
227,"2",8
227,"3",8
306,"1",8
306,"2",8
306,"3",8
404,"1",8
404,"3",10
141,"1",8
141,"2",9
141,"3",9
265,"1",7
265,"2",9
416,"1",1
416,"2",1
416,"3",1
24,"1",8
24,"2",9
24,"3",9
378,"1",6
378,"2",8
378,"3",10
243,"1",8
243,"3",9
145,"1",7
145,"2",7
145,"3",7
359,"1",6
359,"2",6
359,"3",6
137,"1",8
137,"3",9
396,"1",9
396,"2",5
396,"3",10
219,"1",6
219,"2",6
219,"3",6
278,"1",8
278,"3",9
192,"1",8
192,"3",9
388,"1",9
388,"2",5
388,"3",10
352,"1",8
352,"2",10
246,"1",8
246,"3",9
25,"1",8
25,"2",8
25,"3",8
83,"1",6
83,"2",6
83,"3",6
423,"1",8
423,"2",8
423,"3",8
310,"1",6
310,"2",6
310,"3",6
56,"2",4
56,"3",9
367,"1",3
367,"2",5
367,"3",8
479,"1",7
479,"2",7
479,"3",7
443,"1",8
443,"2",8
443,"3",8
422,"1",0
422,"2",9
111,"1",8
111,"2",9
111,"3",9
183,"1",8
183,"2",9
183,"3",9
469,"1",4
469,"2",6
469,"3",7
115,"1",7
115,"2",7
115,"3",7
295,"1",8
295,"2",8
295,"3",8
354,"1",5
354,"2",5
354,"3",5
72,"1",8
72,"2",9
72,"3",9
376,"1",8
376,"3",9
308,"1",6
308,"3",10
89,"1",8
89,"2",8
23,"1",7
23,"2",7
23,"3",7
395,"1",8
395,"3",9
411,"1",8
411,"2",10
411,"3",10
281,"1",1
281,"2",1
281,"3",1
434,"1",8
434,"2",8
434,"3",8
52,"1",8
52,"2",8
52,"3",8
442,"1",8
442,"2",8
442,"3",8
76,"1",6
76,"2",6
76,"3",6
151,"1",8
151,"3",9
301,"1",8
301,"3",9
458,"1",8
458,"2",8
458,"3",8
413,"1",7
413,"2",7
413,"3",7
161,"1",8
161,"2",8
161,"3",8
49,"1",5
49,"2",5
49,"3",5
408,"1",7
408,"2",7
408,"3",7
258,"1",8
258,"2",8
258,"3",9
218,"1",6
218,"3",10
417,"1",8
417,"3",9
11,"1",8
11,"2",9
11,"3",9
307,"1",8
307,"3",9
335,"1",8
335,"2",10
335,"3",10
321,"1",8
321,"2",8
321,"3",8
182,"1",8
182,"3",9
106,"1",8
106,"2",9
106,"3",9
169,"1",8
169,"2",9
169,"3",9
57,"1",8
57,"2",8
57,"3",8
421,"1",1
421,"2",1
421,"3",1
294,"1",8
294,"2",9
294,"3",9
466,"1",8
466,"2",9
466,"3",9
102,"1",8
102,"2",9
102,"3",9
10,"1",8
10,"2",8
10,"3",8
142,"1",8
142,"2",8
142,"3",8
127,"1",8
127,"2",8
127,"3",8
232,"1",8
232,"2",9
232,"3",9
256,"1",4
256,"2",4
256,"3",4
441,"1",8
441,"2",8
441,"3",8
156,"1",8
156,"3",9
206,"1",8
206,"2",8
206,"3",9
172,"1",8
172,"3",8
280,"1",8
280,"2",9
280,"3",9
327,"1",8
327,"2",9
327,"3",9
320,"1",6
320,"2",6
320,"3",6
58,"1",7
58,"2",7
58,"3",7
476,"1",8
476,"2",9
476,"3",9
230,"1",8
230,"3",9
288,"1",7
288,"2",7
288,"3",7
459,"1",6
459,"2",8
459,"3",9
368,"1",8
368,"2",9
